"LPAD(SKU,13,'0')"	"SKU"	"descr"	"Price"	"Type"
"0000000023457"	"023457"	"BATTERY AAA 2PCK"		
"0000000023458"	"023458"	"BATTERY AA 2PCK"		
"0000000023459"	"023459"	"BATTERY AAA 4PCK"		
"0000000023460"	"023460"	"BATTERY AA 4PCK"		
"0000000023461"	"023461"	"TAPE 2SIDED FOAM MT802"		
"0000000023462"	"023462"	"TAPE 2SIDED FOAM MT807"		
"0000000023463"	"023463"	"TAPE 2SIDED FOAM SP309"		
"0000000023464"	"023464"	"TAPE 2SIDED FOAM SP308"		
"0000000023465"	"023465"	"TAPE DUCT DT530N SIL 48MMX27M"		
"0000000023466"	"023466"	"MOISTENER SPONGE CUP ASSTD"		
"0000000023467"	"023467"	"SHARPENER  SHAK 634755"		
"0000000023468"	"023468"	"SHARPENER  IGLOO 634756"		
"0000000023469"	"023469"	"SHARPENER  004001 1HOLE"		
"0000000023470"	"023470"	"SHARPENER W/ERASER 048110"		
"0000000023471"	"023471"	"ERASER 106310 TECH DUO"		
"0000000023472"	"023472"	"ERASER 127311 TECH WING WHT 2S"		
"0000000023473"	"023473"	"ERASER REFILLABLE 129210"		
"0000000023474"	"023474"	"ERASER STICK REFIL 119810 2S"		
"0000000023475"	"023475"	"PLASTIC BOOK COVER BC13"		
"0000000023476"	"023476"	"PERMA MARKER EPF790 BRONZ"		
"0000000023477"	"023477"	"PERMA MARKER EPF790 SIL"		
"0000000023478"	"023478"	"PERMA MARKER EPF790 GLD"		
"0000000023479"	"023479"	"GLUE STICK 15G 60201Q"		
"0000000023480"	"023480"	"HANGING FOLDER BLU LGL"		
"0000000023481"	"023481"	"HANGING FOLDER RED LGL"		
"0000000023482"	"023482"	"HANGING FOLDER GRN LGL"		
"0000000023483"	"023483"	"HANGING FOLDER YEL LGL"		
"0000000023485"	"023485"	"ROLLERBALL PEN ONEHYBRID C BLK"		
"0000000023486"	"023486"	"ROLLERBALL PEN ONEHYBRID C BLU"		
"0000000023487"	"023487"	"ROLLERBALL PEN ONEHYBRID C RED"		
"0000000023488"	"023488"	"ROLLERBALL PEN ONEHYBRID C GRN"		
"0000000023489"	"023489"	"HP TONER Q6511A BLK"		
"0000000023490"	"023490"	"COPY PAPER 80GSM WHT LTR 500RM"		
"0000000023491"	"023491"	"COPY PAPER 80GSM WHT LGL 500RM"		
"0000000023492"	"023492"	"COPY PAPER 80GSM WHT A4 500RM"		
"0000000023493"	"023493"	"COPY PAPER 80GSM WHT LTR 50S"		
"0000000023494"	"023494"	"COPY PAPER 80GSM WHT LGL 50S"		
"0000000023495"	"023495"	"COPY PAPER 80GSM A4 WHT A4 50S"		
"0000000004666"	"4666"	"VERBATIM CD REC 41849 43308"		
"0000000004667"	"4667"	"IMATION CD RW 74MIN"		
"0000000005033"	"5033"	"CARTOLINA BLU 23X28.5IN"		
"0000000005034"	"5034"	"CARTOLINA DPNK 23X28.5IN"		
"0000000005037"	"5037"	"CARTOLINA GRN 23X28.5IN"		
"0000000005049"	"5049"	"CARTOLINA ORG 23X28.5IN"		
"0000000005059"	"5059"	"STYROPBOARD 1X1X1 WHT"		
"0000000005067"	"5067"	"STYROPBOARD 1X2X2 WHT"		
"0000000005068"	"5068"	"STYROPBOARD 1X2X4 WHT"		
"0000000005082"	"5082"	"PERMA MARKER EK70 BULLET"		
"0000000005094"	"5094"	"WB MARKER SET EK517 4PCK ASSTD"		
"0000000005162"	"5162"	"FOLDER SLIDE SMOKE SEMTRANS"		
"0000000023496"	"023496"	"HP PRINTER M12W"		
"0000000023497"	"023497"	"HP INKCARTRIDGE 62 C2P04AA BLK"		
"0000000023499"	"023499"	"CANON INKCARTRIDGE PFI8707MBLK"		
"0000000023500"	"023500"	"CANON INKCARTRIDGE PFI8707 BLK"		
"0000000023501"	"023501"	"CORKBOARD ALUMFRAME 4X8FT"		
"0000000023502"	"023502"	"EPSON SCANNER DS530"		
"0000000023504"	"023504"	"BOARD BEVANIA 270G IVO LTR 10S"		
"0000000023505"	"023505"	"PAPER BEVANIA 170G IVO LTR 10S"		
"0000000023506"	"023506"	"BOARD BEVANIA 270G WHT LTR 10S"		
"0000000023507"	"023507"	"PAPER BEVANIA 160G WHT LTR 10S"		
"0000000023508"	"023508"	"BOARD CONJAINT 215G SIL LTR10S"		
"0000000023509"	"023509"	"PAPER CONJAINT 115G SIL LTR10S"		
"0000000023510"	"023510"	"BOARD CONJAMET 215G SIL LTR10S"		
"0000000023511"	"023511"	"PAPER CONJAMET 115G SIL LTR10S"		
"0000000023512"	"023512"	"BOARD CONJAONDA 215G SIL LTR"		
"0000000023513"	"023513"	"PAPER CONJAONDA 115G SIL LTR"		
"0000000023514"	"023514"	"BOARD CONSNOFLU 240G WHT LTR"		
"0000000023515"	"023515"	"BOARD CONSNOFLU 280G WHT LTR"		
"0000000023516"	"023516"	"BOARD CONSNOTEL 240G WHT LTR"		
"0000000023517"	"023517"	"PAPER CONSNOTEL 170G WHT LTR"		
"0000000023518"	"023518"	"BOARD CONSNORAS 240G WHT LTR"		
"0000000023519"	"023519"	"BOARD CONSNORAS 280G WHT LTR"		
"0000000023520"	"023520"	"PAPER CONSNORAS 130G WHT LTR"		
"0000000023521"	"023521"	"PAPER CONSNORAS 170G WHT LTR"		
"0000000023522"	"023522"	"PAPER FABRIANO WATERCOLOR 10S"		
"0000000023581"	"023581"	"BOARD BUFFALO MORROCAN A4 220G"		
"0000000023582"	"023582"	"BOARD BUFFALO MORROCAN A4 220G"		
"0000000005163"	"5163"	"BROTHER LABELLER TAPE MK231"		
"0000000005164"	"5164"	"BROTHER LABELLER TAPE TZE221"		
"0000000005165"	"5165"	"BROTHER LABELLER TAPE TZE421"		
"0000000005172"	"5172"	"BROTHER LABELLER TAPE TZE431"		
"0000000005173"	"5173"	"BROTHER LABELLER TAPE TZE521"		
"0000000005174"	"5174"	"BROTHER LABELLER TAPE TZE531"		
"0000000005175"	"5175"	"BROTHER LABELLER TAPE TZE621"		
"0000000005176"	"5176"	"BROTHER LABELLER TAPE TZE631"		
"0000000005177"	"5177"	"BROTHER LABELLER TAPE TZE721"		
"0000000005178"	"5178"	"BROTHER LABELLER TAPE TZE731"		
"0000000005170"	"5170"	"BROTHER LABELLER TAPE MK221"		
"0000000023583"	"023583"	"PARTS 53C GEAR B"		
"0000000023584"	"023584"	"PARTS COSMIC-2 A4 ROLLER"		
"0000000023585"	"023585"	"BOARD BIOTOP 160G ACBLU LTR10S"		
"0000000005220"	"5220"	"FULLMARK INKROLLER IR40T COMPA"		
"0000000005221"	"5221"	"FULLMARK INKROLLER IR40 COMPA"		
"0000000023586"	"023586"	"CASIO CALC PRINTING HR8C"		
"0000000005222"	"5222"	"ID CORD PLAIN COL"		
"0000000005223"	"5223"	"ID CORD ZIPPERSTYLE ASSTD"		
"0000000006021"	"6021"	"INKROLLER FOR LABELLER PLM979"		
"0000000006024"	"6024"	"FOLDER BLU LGL"		
"0000000023597"	"023597"	"MAGIC TAPE W/DISPENSER 105"		
"0000000006032"	"6032"	"STICKY NOTE 670 4COL 3X4IN"		
"0000000006035"	"6035"	"STICKY NOTE 674 ARROW CLASSIC"		
"0000000006036"	"6036"	"STICKY NOTE 675 HEART CLASSIC"		
"0000000006065"	"6065"	"AUDIOTAPE 120MP"		
"0000000006078"	"6078"	"RULER MHC2030A/MH2030 CONVERSA"		
"0000000006081"	"6081"	"RULER TRIANGLE &PROTRACTOR 703"		
"0000000006083"	"6083"	"SHARPENER PLASTIC ASSTD 1HOLE"		
"0000000023605"	"023605"	"BROTHER DRUM DR351CL"		
"0000000006115"	"6115"	"PENCILCASE F-061 3D PICTURE"		
"0000000006141"	"6141"	"PENCIL 2B CHARACTER DISNEY"		
"0000000006143"	"6143"	"ILLUSTRATION BOARD 1/8 4PLY"		
"0000000006144"	"6144"	"ILLUSTRATION BOARD 1/4 4PLY"		
"0000000006145"	"6145"	"ILLUSTRATION BOARD 1/2 4PLY"		
"0000000006202"	"6202"	"NOTEBOOK SPIRAL MS1202A-120"		
"0000000023606"	"023606"	"CHAIR EXEC HIBACK SI01"		
"0000000023607"	"023607"	"CHAIR EXEC HIBACK SI01"		
"0000000023608"	"023608"	"CHAIR EXEC SI03 LOWBACK"		
"0000000023609"	"023609"	"CHAIR EXEC SI03 LOWBACK"		
"0000000023610"	"023610"	"CHAIR VISITOR SI04 LOWBACK"		
"0000000023611"	"023611"	"CHAIR VISITOR SI04 LOWBACK"		
"0000000006310"	"6310"	"CRAYON CJ3024"		
"0000000006303"	"6303"	"CASIO CALC HANDHELD HS8LV"		
"0000000006326"	"6326"	"DESK CAL PLANNER DC343"		
"0000000006327"	"6327"	"FOLDER SLIDE W/WINDOW YEL LGL"		
"0000000006348"	"6348"	"SHARPENER XD1788 ASSTD 2HOLE"		
"0000000006349"	"6349"	"SHARPENER METAL 2HOLE"		
"0000000006350"	"6350"	"SHARPENER XD1898A"		
"0000000006351"	"6351"	"SHARPENER METAL 1HOLE"		
"0000000006353"	"6353"	"SEALER SJ876"		
"0000000006354"	"6354"	"CARTOLINA PNK 23X28.5IN"		
"0000000006355"	"6355"	"CARTOLINA YEL 23X28.5IN"		
"0000000006426"	"6426"	"MAP PHIL TRAVEL ATLAS"		
"0000000006394"	"6394"	"KIDS ERASER ER1014 ASSTD 12CM"		
"0000000006432"	"6432"	"COLUMNAR BOOK 8COL.707"		
"0000000006437"	"6437"	"PAD COLUMNAR 8COL."		
"0000000006502"	"6502"	"CLASS RECORD"		
"0000000006514"	"6514"	"YELLOW PAD CLASS A"		
"0000000006828"	"6828"	"SCIENTIFIC SCIENTIFIC 506V"		
"0000000006844"	"6844"	"WASTEBASKET #530"		
"0000000006868"	"6868"	"FULLMARK INKCARTRIDGE T014 COL"		
"0000000006943"	"6943"	"PAINT FABRIC"		
"0000000006947"	"6947"	"PAINT FABRIC GLITTER RED"		
"0000000006958"	"6958"	"PENCIL CHARCOAL FABERXHRDRNDPT"		
"0000000007011"	"7011"	"CASIO INK ROLLER FOR IR40"		
"0000000006995"	"6995"	"TONER HP92275A"		
"0000000007001"	"7001"	"PENCIL MECHANICAL SF7701 LANTU"		
"0000000007063"	"7063"	"LOCK FOR DRAWER #194"		
"0000000007064"	"7064"	"LOCK FOR DRAWER #201"		
"0000000007078"	"7078"	"MICROPHONE JS 1000"		
"0000000023628"	"023628"	"EPSON PRINTER POS TMU220A 676"		
"0000000023629"	"023629"	"BUBBLEMAILER FOR CD GKFT 7X8IN"		
"0000000023630"	"023630"	"BUBBLEMAILER R#0 GKFT 6X10IN"		
"0000000007093"	"7093"	"FILM LAMINATING LF100150-A"		
"0000000007096"	"7096"	"GRAPHING PAPER GRN LTR 20S"		
"0000000023631"	"023631"	"SANDISK USB 3.0 CRUZER FIT"		
"0000000023632"	"023632"	"BROTHER LABELLER TAPE TZES631"		
"0000000023633"	"023633"	"CABINET OPTIMUS  CUBE W/LOCK"		
"0000000023634"	"023634"	"CABINET OPTIMUS CUBE W/ LOCK"		
"0000000023635"	"023635"	"CABINET OPTIMUS CUBE W/ LOCK"		
"0000000023636"	"023636"	"CABINET OPTIMUS CUBE W/ LOCK"		
"0000000023637"	"023637"	"CABINET OPTIMUS CUBE W/ LOCK"		
"0000000023638"	"023638"	"TABLE STUDENT D"		
"0000000007123"	"7123"	"SHARPENER RC841 ASSTD 2HOLE"		
"0000000007124"	"7124"	"ENV ANGPAO REDGLD 10S"		
"0000000007125"	"7125"	"STOCK CARD WHT 100S 5X8IN"		
"0000000023640"	"023640"	"TABLE STUDENT D"		
"0000000023641"	"023641"	"CHAIR OPTIMUS PP"		
"0000000023642"	"023642"	"CHAIR OPTIMUS PP"		
"0000000023643"	"023643"	"CHAIR OPTIMUS PP"		
"0000000023644"	"023644"	"CHAIR OPTIMUS PP"		
"0000000023645"	"023645"	"CHAIR OPTIMUS PP"		
"0000000023647"	"023647"	"BENQ PROJECTOR MX704"		
"0000000023648"	"023648"	"DLINK ROUTER DIR890L"		
"0000000023649"	"023649"	"DLINK ROUTER DIR809"		
"0000000023650"	"023650"	"DLINK ROUTER DIR605L"		
"0000000023651"	"023651"	"DLINK EXTENDER DAP1330"		
"0000000023652"	"023652"	"DLINK ADAPTER WLESS DWA182"		
"0000000023653"	"023653"	"DLINK ADAPTER WLESS DWA171"		
"0000000023654"	"023654"	"DLINK ADAPTER WLESS DWA137"		
"0000000023655"	"023655"	"DLINK ADAPTER WLESS DWA131"		
"0000000023656"	"023656"	"DLINK SWITCHES DES1008"		
"0000000023657"	"023657"	"DLINK SWITCHES DGS1008"		
"0000000023658"	"023658"	"DLINK SWITCHES DGS1016"		
"0000000023659"	"023659"	"VEISSEN BARCODE SCANNER VSBC20"		
"0000000023660"	"023660"	"BALLPEN K20 ICY COLOURS SR"		
"0000000023661"	"023661"	"HI LIGHTER JOB ASSTD 8S"		
"0000000023662"	"023662"	"PERMA MARKER MAXX 130 ASSTD10S"		
"0000000023663"	"023663"	"FINELINER LINE UP 0.4MM"		
"0000000007129"	"7129"	"MOBILE PEDESTAL JM02"		
"0000000023665"	"023665"	"BROTHER BELT UNIT BU320CL"		
"0000000023666"	"023666"	"BROTHER WASTE TONER WT320CL"		
"0000000023667"	"023667"	"LOGITECH MOUSE WLS M170 BLK"		
"0000000023668"	"023668"	"CHAIR EXEC XY6091 W/FOOTREST"		
"0000000023669"	"023669"	"CHAIR TASK XY6083 RED MESH"		
"0000000023670"	"023670"	"CHAIR TASK XY6083 BLU MESH"		
"0000000023671"	"023671"	"CHAIR TASK  XY6089 BLK MESH"		
"0000000023672"	"023672"	"CHAIR TASK XY6089 WHT MESH"		
"0000000023673"	"023673"	"CHAIR TASK XY6089 WHT MESH"		
"0000000023687"	"023687"	"SERVICE FUJI PRINTING MONO LGL"		
"0000000023689"	"023689"	"SERVICE FUJI PRINTING MONO A3"		
"0000000023693"	"023693"	"SERVICE FUJI PRINTING A3"		
"0000000023709"	"023709"	"FUJI PHOTOCOPY MONO A4"		
"0000000023715"	"023715"	"PROLINK UPS LINE PRO2000SFC"		
"0000000023716"	"023716"	"RCA VOICE RECORDER VR5188"		
"0000000007150"	"7150"	"FILE DIVIDER WHT LGL 5S"		
"0000000023717"	"023717"	"CHAIR EXEC 9308 MIDBACK"		
"0000000023718"	"023718"	"CHAIR EXEC 6003 HIBACK"		
"0000000023719"	"023719"	"CHAIR EXEC 6003 MIDBACK"		
"0000000023720"	"023720"	"CHAIR VISITOR 6003G"		
"0000000023721"	"023721"	"CANON PLOTTER PRO 540"		
"0000000008054"	"8054"	"CASIO CALC STANDARD MS20S"		
"0000000008056"	"8056"	"CASIO CALC HANDHELD HL815L"		
"0000000023729"	"023729"	"BROTHER LABELLER PTP900W"		
"0000000023730"	"023730"	"PROLINK PRESENTER PWP107G"		
"0000000023731"	"023731"	"HP USB 2.0 V232W 8GB"		
"0000000008073"	"8073"	"LABEL #10370 YEL A4 20S"		
"0000000008079"	"8079"	"STICKER REMOVABLE C224410"		
"0000000023732"	"023732"	"BALLPEN EPSILON WHT BODY"		
"0000000023733"	"023733"	"BALLPEN EPSILON GRN BODY"		
"0000000023734"	"023734"	"BALLPEN EPSILON RED BODY"		
"0000000023735"	"023735"	"BALLPEN EPSILON VLT BODY"		
"0000000023736"	"023736"	"STAMP INK FOR 5300 BLK 28ML"		
"0000000023757"	"023757"	"BOX INDEX GAMUZA RED 5X8IN"		
"0000000008089"	"8089"	"CHALK CC412 COLORED 12COL 12B"		
"0000000008097"	"8097"	"PENCIL CASE 168B"		
"0000000008114"	"8114"	"NB SPI JUSTICE LEAGUE 80LVS"		
"0000000008133"	"8133"	"NB COMPO CUTEBEARS"		
"0000000008136"	"8136"	"NB SPIRAL TRENDY ASSTD"		
"0000000008142"	"8142"	"NB SPIRAL MS1204A-H"		
"0000000008156"	"8156"	"NB SPIRAL DL 294-A2"		
"0000000008184"	"8184"	"NB SPIRAL NATURE"		
"0000000023758"	"023758"	"CANON INKCARTRIDGE MNTNC MC08"		
"0000000023759"	"023759"	"TPLINK EXTENDER WA850RE"		
"0000000023760"	"023760"	"COPY PAPER 70GSM WHT A5 500RM"		
"0000000023792"	"023792"	"CHAIR TASK SK1038  BLK MESH"		
"0000000023793"	"023793"	"CHAIR TASK SK1038  RED MESH"		
"0000000023794"	"023794"	"CHAIR TASK SK1038  ORG MESH"		
"0000000023795"	"023795"	"MAGFILE CLOSED HORI GRN LGL"		
"0000000023796"	"023796"	"MAGFILE CLOSED HORI YEL LGL"		
"0000000023802"	"023802"	"CABINET 2D VERTICAL  DD2"		
"0000000023803"	"023803"	"CABINET 3D VERTICAL DD3"		
"0000000023804"	"023804"	"CABINET 4D VERTICAL DD4"		
"0000000023805"	"023805"	"CABINET 4D LATERAL DDA4"		
"0000000023806"	"023806"	"PEDESTAL MOBILE  INCI"		
"0000000023807"	"023807"	"CANON INKCARTRIDGE CLI751 GRY"		
"0000000023808"	"023808"	"SEAGATE HARDDRIVE SLIM 1TB"		
"0000000023809"	"023809"	"SEAGATE HARDDRIVE SLIM 2TB"		
"0000000023810"	"023810"	"STAMP DATER S70"		
"0000000008202"	"8202"	"GRADE3 PAD W/PLASTIC BOND"		
"0000000008203"	"8203"	"GRADE4 PAD W/PLASTIC 90LVS"		
"0000000023813"	"023813"	"OLYMPIA TYPEWHEEL ELITE"		
"0000000023815"	"023815"	"CANON SCANNER DRC225"		
"0000000023816"	"023816"	"TECH PEN FINE PIN04200 BLU 0.4"		
"0000000023817"	"023817"	"TECH PEN FINE PIN04200 RED 0.4"		
"0000000023818"	"023818"	"BROTHER WASTE TONER WT200CL"		
"0000000023819"	"023819"	"STICKER PAPER HI GLOSS A4 10S"		
"0000000023820"	"023820"	"STICKER PAPER MATTE A4 10S"		
"0000000023821"	"023821"	"HOOK ANZ CORD BUILDERS17304"		
"0000000023822"	"023822"	"POSTER STRPS ADHSIVE #17024"		
"0000000023823"	"023823"	"HOOK ANZ CORD CLIPS17301"		
"0000000023824"	"023824"	"HOOK BLKES HANGINGSTRIP17206"		
"0000000023825"	"023825"	"HOOK WIRE17067 225G"		
"0000000023826"	"023826"	"HOOK DESIGNER17081 MED"		
"0000000023827"	"023827"	"HOOK DESIGNER17082 SML"		
"0000000023828"	"023828"	"HOOK MICRO17066 225G"		
"0000000023829"	"023829"	"HOOK ANZ17006 MINI"		
"0000000023840"	"023840"	"ERASABLE PEN BLK 0.5MM"		
"0000000023841"	"023841"	"PERMA MARKER HD DUALTIP BLK"		
"0000000023842"	"023842"	"PERMA MARKER HD DUALTIP BLU"		
"0000000023843"	"023843"	"PERMA MARKER HD DUALTIP RED"		
"0000000023844"	"023844"	"PERMA MARKER TWINTIP 3S"		
"0000000023845"	"023845"	"PERMA MARKER BLK 2+1"		
"0000000023846"	"023846"	"MARKER ULTRA FINE POINT 12COL"		
"0000000023847"	"023847"	"PERMA MARKER 12COL"		
"0000000023848"	"023848"	"PERMA MARKER 24+1 ASSTD"		
"0000000023849"	"023849"	"PEDESTAL MOBILE  INCI"		
"0000000023850"	"023850"	"PEDESTAL MOBILE  INCI"		
"0000000023852"	"023852"	"MEKI MOUNT WALL FOR PROJECTOR"		
"0000000023858"	"023858"	"BULB DAYLIGHT LLA60E27 9W"		
"0000000023859"	"023859"	"BULB DAYLIGHT LLA50E27 6W"		
"0000000023860"	"023860"	"BULB DAYLIGHT LLA50E27 3W"		
"0000000023861"	"023861"	"BULB DAYLIGHT LLG40E27 1.5W"		
"0000000023862"	"023862"	"DESKLAMP DSL715BLK"		
"0000000023863"	"023863"	"DESKLAMP DSL1110GRN"		
"0000000023864"	"023864"	"DESKLAMP DSL1110 BLU"		
"0000000023865"	"023865"	"DESKLAMP AEL300PBANK"		
"0000000023866"	"023866"	"EMERGENCY LIGHT AEL200"		
"0000000023867"	"023867"	"EMERGENCY LIGHT AEL010"		
"0000000023868"	"023868"	"XMAS BALLS STROBLIGHT SEM3413R"		
"0000000023869"	"023869"	"XMAS BALLS STROBLIGHT SEM3413G"		
"0000000023870"	"023870"	"XMAS BALLS STROBLIGHT SEM3413S"		
"0000000023871"	"023871"	"XMAS BALLS STROBLIGHT SEM3413B"		
"0000000023872"	"023872"	"XMAS BALLS STROBLIGHT SEM3415R"		
"0000000023873"	"023873"	"XMAS BALLS STROBLIGHT SEM3415G"		
"0000000023874"	"023874"	"XMAS BALLS STROBLIGHT SEM3415S"		
"0000000023875"	"023875"	"XMAS BALLS STROBLIGHT SEM3415B"		
"0000000023876"	"023876"	"XMAS PICKS W/POINSTIA SEM2601R"		
"0000000023877"	"023877"	"XMAS PICKS W/POINSTIA SEM2601G"		
"0000000023878"	"023878"	"XMAS PICKS W/POINSTIA SEM2601S"		
"0000000023879"	"023879"	"XMAS PICKS W/POINSTIA SEM2601B"		
"0000000023880"	"023880"	"XMAS PICKS SEM2603R"		
"0000000023881"	"023881"	"XMAS PICKS SEM2603G GLD"		
"0000000023882"	"023882"	"XMAS PICKS SEM2603S SIL"		
"0000000023883"	"023883"	"XMAS PICKS SEM2603B BLU"		
"0000000023884"	"023884"	"GLITTRD BERRIES PICKS SEM4386R"		
"0000000023885"	"023885"	"GLITTRD BERRIES PICKS SEM4386G"		
"0000000023886"	"023886"	"GLITTRD BERRIES PICKS SEM4386S"		
"0000000023887"	"023887"	"GLITTRD BERRIES PICKS SEM4386B"		
"0000000023888"	"023888"	"POINSETTIA W/ VELVET SEM4805R"		
"0000000023889"	"023889"	"POINSETTIA W/ VELVET SEM4805G"		
"0000000023890"	"023890"	"POINSETTIA W/ VELVET SEM4805S"		
"0000000023891"	"023891"	"POINSETTIA W/VELVET SEM4805B"		
"0000000023892"	"023892"	"POINSETTIA VEL W/ SEQ SEM4801R"		
"0000000023893"	"023893"	"POINSETTIA VEL W/ SEQ SEM4801G"		
"0000000023894"	"023894"	"POINSETTIA VEL W/ SEQ SEM4801S"		
"0000000023895"	"023895"	"POINSETTIA VEL W/SEQ SEM4801B"		
"0000000023896"	"023896"	"POINSETTIA W/GLTTRS SEM4538R"		
"0000000023897"	"023897"	"POINSETTIA W/GLTTRS SEM4538G"		
"0000000023898"	"023898"	"POINSETTIA W/GLTTRS SEM4538B"		
"0000000023899"	"023899"	"POINSETTIA W/GLTTRS SEM4538CH"		
"0000000023900"	"023900"	"XMAS TABLETOP ARANGE GXA1619R"		
"0000000023901"	"023901"	"XMAS TABLETOP ARANGE GXA1619G"		
"0000000023902"	"023902"	"XMAS TABLETOP ARANGE GXA1619S"		
"0000000023903"	"023903"	"XMAS FRUIT ARANGEMENT GXA1341C"		
"0000000023904"	"023904"	"XMAS FRUIT ARANGEMENT GXA1341B"		
"0000000023905"	"023905"	"XMAS FRUIT ARANGEMENT GXA1342A"		
"0000000023906"	"023906"	"XMAS TABLETOP ARANGE GXA169R"		
"0000000023907"	"023907"	"XMAS TABLETOP ARANGE GXA169G"		
"0000000023908"	"023908"	"DECORATED XMAS TREE DX1536G"		
"0000000023909"	"023909"	"DECORATED XMAS TREE DX1536R"		
"0000000023910"	"023910"	"DECORATED XMAS TREE DX1536S"		
"0000000023911"	"023911"	"DECORATED XMAS TREE DX1218R"		
"0000000023912"	"023912"	"DECORATED XMAS TREE DX1218G"		
"0000000023913"	"023913"	"DECORATED XMAS TREE DX1218S"		
"0000000023914"	"023914"	"DECORATED XMAS TREE DX1212R"		
"0000000023915"	"023915"	"DECORATED XMAS TREE DX1212G"		
"0000000023916"	"023916"	"DECORATED XMAS TREE DX1212S"		
"0000000023917"	"023917"	"MERRY XMAS LED LIGHTS 1417"		
"0000000023918"	"023918"	"XMAS CANDLE LED LIGHTS 1423"		
"0000000023921"	"023921"	"MAGFILE DOUBLE BLU LGL"		
"0000000023934"	"023934"	"EPSON SCANNER V800"		
"0000000023935"	"023935"	"FUJIXEROX PRINTER M115Z"		
"0000000023937"	"023937"	"RECORD BOOK 200PGS 3BPEN PROMO"		
"0000000023936"	"023936"	"GLUE BINDER PEN"		
"0000000023939"	"023939"	"RECORD BOOK 300PGS 2S PROMOPAC"		
"0000000023938"	"023938"	"GLUE LIQUID PEN"		
"0000000023942"	"023942"	"RECORD BOOK 500PGS+JR PROMOPAC"		
"0000000023940"	"023940"	"GLUE STICK"		
"0000000023943"	"023943"	"RECORD BOOK 300PGS HI LIGHTER"		
"0000000023944"	"023944"	"BOX STORAGE BRO JR 2S BRO"		
"0000000023945"	"023945"	"BOX BALIKBAYAN BRO 2BUNDLE"		
"0000000023941"	"023941"	"BALLPEN COOL"		
"0000000023946"	"023946"	"TAPE CELO W/SCISSOR 6PCK"		
"0000000023947"	"023947"	"MAGFILE OPEN VERT BLK LGL"		
"0000000023948"	"023948"	"MAGFILE OPEN VERT BLU LGL"		
"0000000023949"	"023949"	"MAGFILE OPEN VERT RED LGL"		
"0000000023950"	"023950"	"MAGFILE CLOSED HORI BLK LGL"		
"0000000023952"	"023952"	"MAGFILE CLOSED HORI RED LGL"		
"0000000023953"	"023953"	"MAGFILE CLOSED HORI BLK LTR"		
"0000000023954"	"023954"	"MAGFILE CLOSED HORI BLU LTR"		
"0000000023955"	"023955"	"MAGFILE CLOSED HORI RED LTR"		
"0000000023956"	"023956"	"BAG DS010 QDRAWSTRING DGRN"		
"0000000023957"	"023957"	"BAG DS010 QDRAWSTRING GRY"		
"0000000023958"	"023958"	"BACKPACK HIEB011 BLK"		
"0000000023959"	"023959"	"BACKPACK HIEB011 VLT"		
"0000000023960"	"023960"	"BAG REUSABLE PROMOPCK 3S SMART"		
"0000000008213"	"8213"	"INDEX BOX KRAFT 3X5IN"		
"0000000008215"	"8215"	"INDEX BOX KRAFT"		
"0000000023964"	"023964"	"BULB DAYLIGHT LLG45E14 3W"		
"0000000023965"	"023965"	"HP INKCARTRIDGE 711 CZ129A BLK"		
"0000000023966"	"023966"	"HP INKCARTRIDGE 711 CZ130A CYN"		
"0000000023967"	"023967"	"HP INKCARTRIDGE 711 CZ131A MAG"		
"0000000023968"	"023968"	"HP INKCARTRIDGE 711 CZ132A YEL"		
"0000000023969"	"023969"	"EPSON INKBOTTLE T664199 BLK"		
"0000000023998"	"023998"	"LAMINATING FILM SL802 MIC 100S"		
"0000000023999"	"023999"	"HP USB 3.0 X740W 16GB"		
"0000000024000"	"024000"	"HP USB 3.0 X740W 32GB"		
"0000000024001"	"024001"	"PNY USB 3.0 TITAN TURBO 16GB"		
"0000000024002"	"024002"	"PNY USB 3.0 TITAN TURBO 32GB"		
"0000000024003"	"024003"	"FUSEBOX CAR VENT PHONE MOUNT"		
"0000000024004"	"024004"	"APC UPS BX625CIMS"		
"0000000024005"	"024005"	"BOX VITAL DOCU KFT COVERW/POC"		
"0000000024006"	"024006"	"BOX SLIM PORTABLE KFT COVER"		
"0000000024007"	"024007"	"BOX VITAL DOCU KEEPER EGO LTHR"		
"0000000024008"	"024008"	"BOX SLIM DOCU KEEPER EGO LTHR"		
"0000000024009"	"024009"	"BROTHER LABELLER TAPE HSE221"		
"0000000024010"	"024010"	"BROTHER PRINTER HLL8360CDW"		
"0000000024011"	"024011"	"POSIFLEX POLE DISPLAY PD2800UB"		
"0000000024012"	"024012"	"BROTHER LABELLER TAPE DK11204"		
"0000000008216"	"8216"	"PENCILCASE WTP"		
"0000000008223"	"8223"	"GLUE D-4236&EN71"		
"0000000008225"	"8225"	"INDEX BOX EGO BLK 4X6IN"		
"0000000008226"	"8226"	"INDEX BOX EGO BLK 5X8IN"		
"0000000008228"	"8228"	"INDEX BOX EGO BLU 4X6IN"		
"0000000008229"	"8229"	"INDEX BOX EGO BLU 5X8IN"		
"0000000008238"	"8238"	"LASER POINTER BLB W/CASE"		
"0000000008244"	"8244"	"STAMP NUMBERING MACH TY1028 8D"		
"0000000024040"	"024040"	"ESCAN SOFTWARE UNIVERSAL 5USER"		
